room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
13284461,1326,73375258,Private room,,Calgary,WEST,RUTLAND PARK,1,0.0,1,1.0,,20.0,,2017-06-10 03:48:02.869342,51.013453,-114.140842,0101000020E6100000CFF9298E03895CC03C84F1D3B8814940
8533454,1326,42343570,Private room,,Calgary,CENTRE,CRESCENT HEIGHTS,123,5.0,2,1.0,,27.0,,2017-06-10 03:48:02.865449,51.064049,-114.056555,0101000020E610000038DBDC989E835CC0B62BF4C132884940
18407401,1326,87084725,Private room,,Calgary,CENTRE,ELBOYA,2,0.0,2,1.0,,37.0,,2017-06-10 03:48:02.862983,51.009133,-114.079122,0101000020E61000003999B85510855CC03D2828452B814940
7968790,1326,2506176,Private room,,Calgary,CENTRE,BANFF TRAIL,3,5.0,2,1.0,,54.0,,2017-06-10 03:55:20.827307,51.06841,-114.107269,0101000020E6100000FAB7CB7EDD865CC0145CACA8C1884940
17271303,1326,75838336,Private room,,Calgary,CENTRE,BANFF TRAIL,0,0.0,3,1.0,,58.0,,2017-06-10 03:55:20.825156,51.073002,-114.110915,0101000020E6100000B2683A3B19875CC07445292158894940
3146486,1326,2886587,Private room,,Calgary,SOUTH,DEER RIDGE,19,5.0,6,1.0,,45.0,,2017-06-10 03:55:20.822715,50.923692,-114.020293,0101000020E61000009DD5027B4C815CC0D6C9198A3B764940
13310215,1326,5883350,Private room,,Calgary,CENTRE,SUNNYSIDE,12,5.0,2,1.0,,54.0,,2017-06-10 03:55:20.820241,51.054715,-114.081569,0101000020E610000084D72E6D38855CC0E2CCAFE600874940
17748542,1326,112618922,Private room,,Calgary,NORTHWEST,SILVER SPRINGS,9,5.0,3,1.0,,42.0,,2017-06-10 03:55:20.817701,51.107212,-114.210464,0101000020E6100000103FFF3D788D5CC08FDE701FB98D4940
13961100,1326,36894228,Private room,,Calgary,WEST,ASPEN WOODS,1,0.0,1,1.0,,45.0,,2017-06-10 03:55:20.815021,51.040547,-114.202056,0101000020E61000007AFD497CEE8C5CC0B779E3A430854940
19086877,1326,67513173,Private room,,Calgary,CENTRE,BELTLINE,0,0.0,2,1.0,,60.0,,2017-06-10 03:55:20.811574,51.041546,-114.056044,0101000020E6100000C5C8923996835CC0CAA31B6151854940
