room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
14965966,64120790,Private room,NORTHWEST,BRENTWOOD,0,,2,1.0,37.0,2.0,51.088278,-114.128413,2016-09-21 23:17:24.412019
13379310,76013208,Entire home/apt,SOUTHEAST,MAHOGANY,8,5.0,4,2.0,55.0,3.0,50.899968,-113.937401,2016-09-21 23:17:14.119843
4384253,2885346,Private room,CENTRE,CRESCENT HEIGHTS,33,4.5,2,1.0,50.0,2.0,51.064828,-114.061266,2016-09-21 23:17:05.082065
12548041,15722524,Entire home/apt,CENTRE,SUNALTA,5,5.0,2,0.0,62.0,1.0,51.042394,-114.100935,2016-09-21 23:16:40.131382
7871805,12365039,Entire home/apt,CENTRE,BELTLINE,5,3.0,2,1.0,97.0,2.0,51.04124,-114.058599,2016-09-21 23:16:13.078193
10969861,56909867,Shared room,NORTH,HUNTINGTON HILLS,0,,1,1.0,70.0,2.0,51.122787,-114.085223,2016-09-21 23:16:09.339375
6629193,7388962,Entire home/apt,CENTRE,BELTLINE,18,5.0,3,1.0,74.0,2.0,51.038297,-114.082661,2016-09-21 23:16:05.425159
6914658,34573226,Private room,CENTRE,RENFREW,7,4.5,1,1.0,27.0,2.0,51.058211,-114.049669,2016-09-21 23:15:35.166233
13007107,71554033,Private room,NORTH,SHERWOOD,0,,2,1.0,31.0,1.0,51.162461,-114.149251,2016-09-21 23:15:29.141910
7660646,40206324,Entire home/apt,CENTRE,DOWNTOWN WEST END,0,,2,1.0,100.0,2.0,51.049158,-114.08736,2016-09-21 23:15:18.694550
13453518,33608938,Entire home/apt,CENTRE,RENFREW,22,4.5,6,3.0,87.0,1.0,51.060315,-114.054693,2016-09-21 23:15:15.906045
13299907,27715982,Entire home/apt,CENTRE,CRESCENT HEIGHTS,7,5.0,4,1.0,55.0,2.0,51.055886,-114.056262,2016-09-21 23:15:12.966630
13912212,82525458,Private room,CENTRE,CRESCENT HEIGHTS,0,,2,1.0,38.0,1.0,51.064419,-114.062006,2016-09-21 23:14:29.033275
13046311,72126409,Private room,SOUTH,HAYSBORO,0,,3,1.0,59.0,1.0,50.97537,-114.076413,2016-09-21 23:14:23.895939
14740936,22626725,Private room,EAST,DOVER,0,,2,1.0,34.0,2.0,51.028219,-113.982991,2016-09-21 23:14:10.895831
7205185,37727247,Private room,SOUTHEAST,OGDEN,0,,2,1.0,46.0,1.0,50.997746,-114.018543,2016-09-21 23:14:07.559554
13139301,73224310,Entire home/apt,NORTH,NORTH HAVEN,5,4.5,2,0.0,43.0,1.0,51.09516,-114.09001,2016-09-21 23:13:50.764947
13249188,74498162,Private room,NORTH,HUNTINGTON HILLS,2,,1,1.0,27.0,1.0,51.114007,-114.052144,2016-09-21 23:13:45.376802
8240434,22847923,Private room,SOUTH,SUNDANCE,0,,2,1.0,78.0,1.0,50.901012,-114.025396,2016-09-21 23:13:43.249421
12926422,14020178,Private room,CENTRE,BELTLINE,1,,2,1.0,78.0,1.0,51.03975,-114.08985,2016-09-21 23:13:26.140283
7108546,25007617,Private room,WEST,CURRIE BARRACKS,6,4.5,2,1.0,59.0,1.0,51.019052,-114.131391,2016-09-21 23:13:12.448937
1196688,3807565,Private room,SOUTH,KINGSLAND,10,5.0,6,1.0,39.0,1.0,50.984061,-114.079589,2016-09-21 23:12:55.071202
6800725,32269592,Private room,CENTRE,CRESCENT HEIGHTS,12,5.0,2,1.0,38.0,1.0,51.055561,-114.053572,2016-09-21 23:12:51.274492
15127908,10800072,Entire home/apt,CENTRE,WINSTON HEIGHTS/MOUNTVIEW,0,,4,3.0,98.0,3.0,51.074228,-114.05296,2016-09-21 23:12:47.781748
4910922,25190100,Entire home/apt,CENTRE,MOUNT PLEASANT,22,4.5,11,6.0,178.0,4.0,51.067089,-114.070755,2016-09-21 23:12:34.265169
13661405,39359063,Entire home/apt,CENTRE,BELTLINE,16,4.5,2,1.0,67.0,1.0,51.039595,-114.064476,2016-09-21 23:12:24.656803
1558543,11055148,Private room,NORTHEAST,SADDLE RIDGE,0,,2,1.0,39.0,1.0,51.127463,-113.938164,2016-09-21 23:12:08.144077
14375705,57400214,Private room,SOUTHEAST,DOUGLASDALE/GLEN,2,,2,1.0,31.0,1.0,50.934231,-113.97684,2016-09-21 23:12:01.323113
5412381,22125334,Private room,WEST,CHRISTIE PARK,10,4.5,1,1.0,23.0,1.0,51.039188,-114.169993,2016-09-21 23:11:55.057810
13064303,31480482,Entire home/apt,WEST,PATTERSON,6,4.5,4,2.0,94.0,4.0,51.057755,-114.165242,2016-09-21 23:11:49.244765
15128785,69807999,Private room,SOUTH,SOUTHWOOD,0,,1,1.0,36.0,1.0,50.964293,-114.080537,2016-09-21 23:11:34.543924
8141285,29122642,Shared room,EAST,PENBROOKE MEADOWS,23,4.5,1,1.0,14.0,1.0,51.050313,-113.936757,2016-09-21 23:11:31.656267
11313598,59160767,Private room,CENTRE,WINDSOR PARK,0,,2,1.0,40.0,1.0,51.005553,-114.070504,2016-09-21 23:11:21.482225
14387680,66589980,Entire home/apt,CENTRE,GARRISON WOODS,6,5.0,4,1.0,52.0,1.0,51.015848,-114.112305,2016-09-21 23:11:12.531065
6870681,36006462,Private room,CENTRE,SUNALTA,33,5.0,8,1.0,78.0,1.0,51.043436,-114.108063,2016-09-21 23:10:55.550756
14197467,86109841,Entire home/apt,SOUTHEAST,OGDEN,7,5.0,6,3.0,70.0,1.0,50.999186,-114.014881,2016-09-21 23:10:52.307083
14011333,73665007,Private room,SOUTH,CHAPARRAL,0,,2,1.0,54.0,1.0,50.886821,-114.035793,2016-09-21 23:10:38.886909
13395850,76207116,Entire home/apt,NORTHWEST,EDGEMONT,2,,8,5.0,157.0,2.0,51.135118,-114.130452,2016-09-21 23:10:31.591976
7402120,33453416,Entire home/apt,CENTRE,PARKHILL,14,5.0,6,2.0,116.0,,51.015757,-114.06663,2016-09-21 23:10:23.756704
10374322,39762604,Entire home/apt,CENTRE,RENFREW,46,5.0,2,1.0,28.0,1.0,51.064152,-114.052408,2016-09-21 23:10:21.205644
12009420,38796271,Private room,SOUTH,BRIDLEWOOD,12,5.0,3,1.0,30.0,1.0,50.894571,-114.100373,2016-09-21 23:10:17.832145
6284880,32634765,Private room,NORTHWEST,BRENTWOOD,10,4.5,2,1.0,39.0,1.0,51.091251,-114.130599,2016-09-21 23:10:11.646995
14872064,67216894,Entire home/apt,NORTHWEST,VARSITY,0,,2,1.0,312.0,1.0,51.081819,-114.128036,2016-09-21 23:10:08.059123
6187517,20673598,Entire home/apt,NORTH,THORNCLIFFE,13,4.5,15,7.0,241.0,,51.107412,-114.063278,2016-09-21 23:09:44.583843
14403169,76458224,Private room,CENTRE,ST. ANDREWS HEIGHTS,0,,2,1.0,52.0,1.0,51.06557,-114.128573,2016-09-21 23:09:41.051453
764034,4027788,Private room,SOUTH,DEER RUN,76,4.5,2,1.0,34.0,1.0,50.92023,-114.015806,2016-09-21 23:09:37.505605
12889633,70554406,Private room,WEST,CURRIE BARRACKS,0,,2,1.0,10.0,1.0,51.01845,-114.133968,2016-09-21 23:09:20.902760
7613647,4345521,Private room,CENTRE,RAMSAY,3,4.5,2,1.0,53.0,1.0,51.031211,-114.046959,2016-09-21 23:09:02.640437
10232394,38508369,Private room,CENTRE,ERLTON,7,5.0,2,1.0,98.0,,51.026988,-114.061884,2016-09-21 23:08:54.216790
13251025,74527498,Private room,WEST,WEST SPRINGS,2,,3,1.0,28.0,2.0,51.066007,-114.198694,2016-09-21 23:08:50.326638
7902519,38095118,Private room,NORTHEAST,SKYVIEW RANCH,0,,2,1.0,52.0,1.0,51.164322,-113.959692,2016-09-21 23:08:26.890004
14390336,75032888,Private room,NORTHWEST,HAMPTONS,0,,2,1.0,46.0,1.0,51.140188,-114.134137,2016-09-21 23:08:24.254425
13241724,50241977,Private room,CENTRE,BELTLINE,26,5.0,3,1.0,61.0,1.0,51.040668,-114.056141,2016-09-21 23:08:02.643823
606603,1407573,Entire home/apt,CENTRE,UPPER MOUNT ROYAL,27,5.0,2,1.0,66.0,3.0,51.035853,-114.089612,2016-09-21 23:07:57.225365
4966010,21301776,Private room,CENTRE,BANFF TRAIL,2,,2,1.0,55.0,1.0,51.077992,-114.118425,2016-09-21 23:07:46.095822
9435761,48099511,Private room,EAST,FOREST LAWN,0,,2,1.0,69.0,1.0,51.038479,-113.973614,2016-09-21 23:07:43.788328
240863,1263594,Private room,CENTRE,WEST HILLHURST,64,5.0,2,1.0,29.0,,51.055873,-114.118208,2016-09-21 23:07:33.779780
14489688,61873101,Entire home/apt,NORTHEAST,SKYVIEW RANCH,0,,4,2.0,75.0,4.0,51.162554,-113.954839,2016-09-21 23:07:30.624579
3925180,18024953,Entire home/apt,CENTRE,SUNNYSIDE,3,4.5,2,1.0,70.0,1.0,51.053308,-114.082937,2016-09-21 23:07:10.720415
13434992,12397912,Entire home/apt,CENTRE,BANKVIEW,14,5.0,4,2.0,78.0,2.0,51.035686,-114.101767,2016-09-21 23:07:03.377233
5942486,30849794,Entire home/apt,WEST,COUGAR RIDGE,3,5.0,3,1.0,93.0,1.0,51.073213,-114.216336,2016-09-21 23:06:52.055420
15061685,59834469,Private room,CENTRE,WINDSOR PARK,0,,2,1.0,23.0,4.0,51.002559,-114.080346,2016-09-21 23:06:49.668342
